epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,0.587452512800251,1.7993986266973099,24356.47225292304,7.507655382156372,974.31640625,1138.962890625,0.0018420377696415065,1.0018437353633978,0.002657266253313631,,,
2,0.0010284861923523366,1.0010290152656423,24620.682557217446,7.427088975906372,1100.71875,1138.962890625,0.0005901615751525419,1.0005903357547579,0.0008513486875790116,,,
3,0.0004159479950612717,1.0004160345134239,25008.057158036765,7.3120434284210205,980.609375,1138.962890625,0.00029944167134655735,1.000299486508479,0.00043196521874787336,,,
4,0.00023239148270237382,1.000232418487695,24285.487688176247,7.529599666595459,1101.75390625,1138.962890625,0.0001830723577194691,1.0001830891164862,0.0002640944752056754,,,
5,0.00014972795860384327,1.000149739168394,24414.47889296474,7.48981785774231,981.640625,1138.962890625,0.00012354903833565058,1.0001235566708324,0.00017822799054905916,,,
6,0.00010398610216827164,1.0001039915089105,25381.71599590938,7.2043986320495605,1101.78125,1138.962890625,8.870371174912765e-05,1.0000887076460396,0.000127961208862992,,,
7,7.626920038163886e-05,1.0000762721089511,25490.101979294657,7.173764944076538,981.6875,1138.962890625,6.634374389175813e-05,1.0000663459446866,9.570541639673382e-05,,,
8,5.7882924476372305e-05,1.0000578845997252,25500.055737890016,7.17096471786499,1101.765625,1138.962890625,5.114429247268158e-05,1.0000511456003642,7.377916168554376e-05,,,
9,4.519618354127126e-05,1.0000451972049043,25481.221773018544,7.176265001296997,981.63671875,1138.962890625,4.0325609844162925e-05,1.0000403264229325,5.8172467442967015e-05,,,
10,3.5936651366557144e-05,1.0000359372970957,25517.934374325534,7.165940523147583,1101.765625,1138.962890625,3.238407521562564e-05,1.0000323845995855,4.671625719813543e-05,,,
11,2.9075647272529732e-05,1.0000290760699733,25527.891193070525,7.163145542144775,981.63671875,1138.962890625,2.6394943657903705e-05,1.0000263952920074,3.8076522748994644e-05,,,
12,2.383051596515032e-05,1.000023830799914,25522.286288699535,7.1647186279296875,1101.76953125,1138.962890625,2.1760278532078598e-05,1.0000217605152886,3.139069934339669e-05,,,
13,1.9735161254610383e-05,1.000019735355994,25454.34875076723,7.183841228485107,981.71484375,1138.962890625,1.8112807087504585e-05,1.0000181129711254,2.6128970762512084e-05,,,
14,1.649604452422982e-05,1.0000164961805846,25445.98814230954,7.186201572418213,1101.84375,1138.962890625,1.5191017448268368e-05,1.0000151911328323,2.1914088127866208e-05,,,
15,1.3891238265564039e-05,1.0000138913347492,25455.04149198978,7.183645725250244,981.71484375,1138.962890625,1.282694712660323e-05,1.0000128270293922,1.8503753991534327e-05,,,
16,1.1757970118171614e-05,1.0000117580392434,25498.853585855522,7.171302795410156,1101.84765625,1138.962890625,1.0890888881500746e-05,1.0000108909481875,1.5710856731799158e-05,,,
17,1.0004899844691352e-05,1.000010004949894,25440.10860525778,7.187862396240234,981.7265625,1138.962890625,9.296423322693726e-06,1.0000092964665346,1.3410730430744357e-05,,,
18,8.559424067797896e-06,1.0000085594606998,25496.20128321644,7.172048807144165,1101.9296875,1138.962890625,7.95676322487332e-06,1.00000795679488,1.1478178543091257e-05,,,
19,7.33657122153643e-06,1.0000073365981343,25508.49518654097,7.168592214584351,981.80078125,1138.962890625,6.836563419961716e-06,1.0000068365867893,9.862213231403086e-06,,,
20,6.307610313126833e-06,1.0000063076302061,25498.475499408723,7.1714091300964355,1101.9296875,1138.962890625,5.891725173319092e-06,1.0000058917425296,8.499219036049484e-06,,,
