epoch,train_loss,train_ppl,train_tokens_per_sec,train_epoch_time_sec,train_cpu_mem_mb,train_gpu_mem_mb,val_loss,val_ppl,val_bpc,test_loss,test_ppl,test_bpc
1,0.8979707023535144,2.454616905311204,38117.30122554895,8.396239757537842,973.50390625,1140.67333984375,0.09825052904753259,1.103239143941037,0.24651076668479543,,,
2,0.049367625293554075,1.05060650928124,39800.84184688953,8.041086196899414,978.953125,1140.67333984375,0.03605511701263103,1.0367129854389583,0.09046235805400883,,,
3,0.01840546533130367,1.0185758898837332,40933.323139330074,7.818617582321167,978.9921875,1140.67333984375,0.015652075342021277,1.0157752106756157,0.03927108719082002,,,
4,0.009755796145791926,1.0098035390554059,42384.03569273843,7.551003456115723,1100.2109375,1140.67333984375,0.0077683012573074904,1.007798552793131,0.019490682822184982,,,
5,0.004609491556568217,1.0046201316048957,41061.87792930101,7.794139385223389,980.08984375,1140.67333984375,0.004719047110640942,1.0047301993492026,0.011840098293037962,,,
6,0.002566998490504371,1.0025702960521377,42013.384805938316,7.61761999130249,1100.21875,1140.67333984375,0.002029612418285688,1.0020316734757166,0.0050923014680413214,,,
7,0.0011030471804397027,1.0011036557607245,41842.05177198383,7.648812294006348,980.03125,1140.67333984375,0.0009807146057500785,1.0009811956635664,0.002460614835422101,,,
8,0.0006373736508764073,1.0006375768166238,42806.82726144539,7.476424217224121,1100.16015625,1140.67333984375,0.0005958396122605491,1.000596017159944,0.0014949627351976882,,,
9,0.00039320512475656986,1.0003932824400248,44182.71875624756,7.243601322174072,980.09375,1140.67333984375,0.00041832501463473894,1.0004184125247457,0.0010495782677276842,,,
10,0.0002834927345765482,1.0002835329224393,44325.706336434865,7.220234632492065,1100.22265625,1140.67333984375,0.0002949957442826394,1.000295039259806,0.0007401448907891814,,,
11,0.00020079715125260032,1.00020081731235,44329.92797517253,7.2195470333099365,980.15625,1140.67333984375,0.0002211453140393204,1.0002211697684669,0.00055485401901713,,,
12,0.00015423164468749746,1.0001542435389992,44277.55405289735,7.228086709976196,1100.28515625,1140.67333984375,0.00017386936777882508,1.0001738844839334,0.0004362385787604593,,,
13,0.00012225966830644024,1.0001222671423242,44317.211335457534,7.22161865234375,980.15625,1140.67333984375,0.00014040048654763052,1.0001404103431573,0.000352265091265113,,,
14,9.87631254663895e-05,1.0000987680027045,44265.44693173985,7.2300636768341064,1100.28515625,1140.67333984375,0.0001163929173684922,1.000116399691287,0.0002920300539379906,,,
15,8.054887868654462e-05,1.0000805521228346,44323.41873156002,7.220607280731201,980.15625,1140.67333984375,9.572999998904489e-05,1.0000957345822516,0.000240186754420612,,,
16,6.664500460485999e-05,1.0000666472254325,44227.44716567483,7.236275672912598,1100.28515625,1140.67333984375,7.82203404261011e-05,1.0000782233997167,0.0001962549848403908,,,
17,5.533371327491506e-05,1.000055335244213,44309.213938305795,7.222922086715698,980.234375,1140.67333984375,6.556752645872151e-05,1.0000655696760559,0.00016450905021738366,,,
18,4.6567617483552676e-05,1.0000465687017719,44183.8327370635,7.2434186935424805,1100.36328125,1140.67333984375,5.5907997131460814e-05,1.0000559095600126,0.0001402732725237561,,,
19,3.934185033763814e-05,1.0000393426242384,44257.263921574886,7.231400489807129,980.234375,1140.67333984375,4.721627763429127e-05,1.0000472173923403,0.00011846573155855802,,,
20,3.3372699287740145e-05,1.0000333732561624,44334.85911776317,7.2187440395355225,1100.36328125,1140.67333984375,4.0843733913876885e-05,1.0000408445680304,0.00010247700708571834,,,
